Asset category,Asset Name,Holding,Market Value (£),CU Both,CU Oil and gas,CU Coal,Arms (Sipri top 20)**,Tobacco (est)
Equities,MEDNAX INC COM,10631,"£519,268",No,No,No,No,No
Equities,MEDTRONIC PLC COMMON STOCK STOCK,66380,"£3,487,353",No,No,No,No,No
UNLISTED INVESTMENTS,MEIF (Macquarie European Infrastructure Fund),,"£32,544,341",No,No,No,No,No
UNLISTED INVESTMENTS,MEIF2 (Macquarie European Infrastructure Fund II),,"£17,190,011",No,No,No,No,No
Equities,MELROSE INDUSTRIES PLC ORD GBP0,1417345,"£3,931,715",No,No,No,No,No
Equities,MERCK & CO INC NEW COM,578040,"£22,385,665",No,No,No,No,No
Equities,METRO INC COM NPV,608300,"£11,104,007",No,No,No,No,No
Equities,MICHELIN (CGDE) EUR2,49029,"£3,284,642",No,No,No,No,No
Equities,MICRO FOCUS INTERNATIONAL PLC ORD GBP0.10,377578,"£4,451,645",No,No,No,No,No
Equities,MICROSOFT CORP COM,155391,"£4,255,065",No,No,No,No,No
Equities,MLP ENERGY TRANSFER PARTNERS L P UNIT LTD PARTNERSHIP INT,111600,"£4,191,108",No,No,No,No,No
Equities,MLP ENTERPRISE PRODS PARTNERS L P COM UNIT,191000,"£4,236,868",No,No,No,No,No
Equities,MLP ONEOK PARTNERS L P UNIT LTD PARTNERSHIP,111900,"£3,082,244",No,No,No,No,No
Equities,MLP SUNOCO LOGISTICS PARTNERS L P COM UNITS,171400,"£4,773,106",No,No,No,No,No
Equities,MOLSON COORS BREWING CO CL B CL B,113300,"£5,682,172",No,No,No,No,No
Equities,MONDELEZ INTL INC COM,176900,"£4,299,462",No,No,No,No,No
Equities,MONEYSUPERMARKET.C ORD GBP0.0002,783755,"£2,104,382",No,No,No,No,No
Equities,MONITISE PLC ORD GBP0.01,2878505,"£367,009",No,No,No,No,No
Equities,MONSANTO CO NEW COM,14217,"£1,077,983",No,No,No,No,No
Equities,MOODYS CORP COM,27700,"£1,936,108",No,No,No,No,No
Equities,MPF EMERGING MARKETS EQTY INDEX,1691937,"£6,898,196",No,No,No,No,No
Equities,MPF UK INDEX LINKED GILTS OVER 15 YRS 80244,22879534,"£51,309,643",No,No,No,No,No
Equities,"MS&AD INSURANCE GROUP HOLDINGS, INC. NPV",83200,"£1,574,937",No,No,No,No,No
Equities,MSC INDL DIRECT INC CL A COM,72906,"£3,544,867",No,No,No,No,No
Equities,MTR CORP HKD1,1545500,"£4,941,560",No,No,No,No,No
Equities,MUENCHENER RUECKVE NPV(REGD),17423,"£2,533,629",No,No,No,No,No
Equities,MYRIAD GENETICS INC COM,50473,"£1,203,260",No,No,No,No,No
Equities,NABORS INDUSTRIES COM USD0.10,161200,"£1,483,322",No,No,No,No,No
Equities,NASPERS 'N' ZAR0.02,98462,"£10,236,197",No,No,No,No,No
Equities,NATIONAL GRID ORD GBP0.113953,583714,"£5,047,375",No,No,No,No,No
Equities,NATIONAL OILWELL VARCO COM STK,101300,"£3,408,511",No,No,No,No,No
Equities,NATL BK OF CANADA COM NPV,209774,"£5,155,873",No,No,No,No,No
Equities,NESTLE SA CHF0.10(REGD),425956,"£21,668,621",No,No,No,No,No
Equities,NEXT ORD GBP0.10,73100,"£5,135,275",No,No,No,No,No
Equities,NEXTERA ENERGY INC COM,70800,"£4,962,439",No,No,No,No,No
UNLISTED INVESTMENTS,NIBC Infrastructure Partners I BV,,"£8,444,124",No,No,No,No,No
Equities,NIPPON TELEGRAPH & TELEPHONE CORP NPV,202200,"£8,400,171",No,No,No,No,No
Equities,NISOURCE INC COM,189800,"£5,643,497",No,No,No,No,No
Equities,NORTHROP GRUMMAN CORP COM,48400,"£5,250,805",No,No,No,Yes,No
Equities,NOVARTIS AG CHF0.50 (REGD),485284,"£32,360,236",No,No,No,No,No
Equities,NOVO-NORDISK AS DKK0.2 SER'B',73200,"£2,637,025",No,No,No,No,No
Equities,NOW INC COM,50338,"£732,775",No,No,No,No,No
Equities,NTT DOCOMO NPV,1538800,"£18,026,128",No,No,No,No,No
UNLISTED INVESTMENTS,NZ One Investors Co. Ltd,,"£3,630,648",No,No,No,No,No
Equities,OGE ENERGY CORP COM,241304,"£5,138,174",No,No,No,No,No
Equities,OLYMPUS CORP NPV,38700,"£969,518",No,No,No,No,No
Equities,OMNICOM GROUP INC COM,106900,"£5,613,240",No,No,No,No,No
Equities,OMV AG NPV,62337,"£1,152,739",No,Yes,No,No,No
Equities,OPTIMAL PAYMENTS ORD GBP0.0001,1064685,"£5,621,537",No,No,No,No,No
Equities,ORACLE CORP COM,358446,"£10,421,374",No,No,No,No,No
Equities,ORBITAL ATK INC COM,46800,"£2,414,558",No,No,No,No,No
Equities,OSAKA GAS CO LTD NPV,2331000,"£6,580,742",No,No,No,No,No
Equities,OVERSEA-CHINESE BANKING CORPORATION SGD0.5,943155,"£4,877,217",No,No,No,No,No
UNLISTED INVESTMENTS,Pantheon Asia Fund IV Ltd.,,"£16,167,060",No,No,No,No,No
