asset_category,asset_name,holding,market_value,coal,oil_gas,arms,tobacco
Equities,CRH PLC EQUITY,145703,2864521,No,No,No,No
Equities,CROWN HLDGS INC COM,18284,630711,No,No,No,No
Equities,CSX CORP COM,63331,1134609,No,No,No,No
Equities,CVS HEALTH CORP COM,303896,21921617,No,No,No,No
Equities,CYBERAGENT INC,22900,739966,No,No,No,No
Equities,DAIMLER AG COM,447099,23874115,No,No,No,No
Equities,DAITO TRUST CONST NPV,13700,1354775,No,No,No,No
Equities,DAIWA SECS GROUP INC,1173000,5015256,No,No,No,No
Equities,DANAHER CORP COM,79800,5267811,No,No,No,No
Equities,DANONE EUR0.25,82603,4093844,No,No,No,No
Equities,DART GROUP ORD GBP0.0125,170000,1128800,No,No,No,No
Equities,DAVITA HEALTHCARE PARTNERS INC COM,23356,1192256,No,No,No,No
Equities,DBS GROUP HLDGS NPV,547000,4346680,No,No,No,No
Equities,DEUTSCHE BOERSE AG NPV(REGD),54628,3239686,No,No,No,No
Equities,DEUTSCHE POST AG NPV(REGD),1165168,22531304,No,No,No,No
Equities,DIAGEO ORD PLC,352122,6623415,No,No,No,No
Equities,DIPLOMA ORD GBP0.05,344729,2557889,No,No,No,No
Equities,DISTRIBUIDORA INTL DE ALIMENTACION EUR0.01,167465,605976,No,No,No,No
Equities,DOLBY LABORATORIES INC CL A COM STK,26007,786199,No,No,No,No
Equities,DOLLAR GEN CORP NEW COM,46873,2792226,No,No,No,No
Equities,DOMINION RES INC VA NEW COM,92400,4827969,No,No,No,No
Equities,DOMINO'S PIZZA GRP PLC GBP0.015625,375000,3772500,No,No,No,No
Equities,DR PEPPER SNAPPLE GROUP INC COM STK,210075,13068119,No,No,No,No
Equities,DTE ENERGY CO COM,89800,5665529,No,No,No,No
Equities,DUKE ENERGY CORP NEW COM NEW COM NEW,85800,4815617,No,No,No,No
Equities,E2V TECHNOLOGIES ORD GBP0.05,160000,342400,No,No,No,No
Equities,EAST JAPAN RAILWAY CO NPV,113700,6825716,No,No,No,No
Equities,EASYJET ORD GBP0.27285714,278661,4232861,No,No,No,No
Equities,EBAY INC COM USD0.001,241138,4001351,No,No,No,No
Equities,ECOLAB INC COM STK USD1,56200,4359772,No,No,No,No
Equities,EDF EUR0.5,1116063,8723837,No,No,No,No
Equities,EDISON INTL COM,131100,6556369,No,No,No,No
Equities,ELECTRA PRIVATE EQ ORD GBP0.25,102000,3527160,No,No,No,No
Equities,ELECTROLUX AB SER'B'NPV (POST SPLIT),124712,2283009,No,No,No,No
Equities,ELI LILLY & CO COM,649372,32525077,No,No,No,No
Equities,EMC CORP COM,228999,4246033,No,No,No,No
Equities,EMERA INC COM NPV,539061,13758690,No,No,No,No
Equities,EMIS GROUP PLC ORD GBP0.01,17326,175686,No,No,No,No
Equities,EMPIRE CO CLASS'A'N/VTG COM NPV,252000,3048547,No,No,No,No
Equities,ENAGAS SA EUR1.50,827665,17330415,No,No,No,No
Equities,ENBRIDGE INC COM NPV,146600,3983037,No,No,No,No
Equities,ENGIE COMSTK,65486,708188,No,No,No,No
Equities,ENI SPA EUR1,1151857,12136949,No,Yes,No,No
Equities,ENTERGY CORP NEW COM,134033,7391259,No,No,No,No
Equities,EOG RESOURCES INC COM,25007,1262790,No,Yes,No,No
Equities,ESSILOR INTL EUR0.18,57104,4914534,No,No,No,No
Equities,ETABLISSEMENTEN COLRUYT ORDSHR,340435,13819430,No,No,No,No
Equities,EVEREST RE GROUP COM,35000,4803277,No,No,No,No
Equities,EVERSOURCE ENERGY COM,145900,5923096,No,No,No,No
Equities,EXELON CORP COM,745406,18602738,No,No,No,No
Equities,EXPEDITORS INTL WASH INC COM,396894,13472803,No,No,No,No
Equities,EXPERIAN ORD USD0.10,330107,4106531,No,No,No,No
Equities,EXPRESS SCRIPTS HLDG CO COM,26009,1242272,No,No,No,No
Equities,EXXON MOBIL CORP COM,64100,3728352,No,Yes,No,No
Equities,FACEBOOK INC CL A CL A,18787,1491275,No,No,No,No
Equities,FAIRFAX FINL HLDGS SUB-VTG COM NPV,3340,1303373,No,No,No,No
Equities,FDM GROUP (HLDGS) ORD GBP0.01,100000,577500,No,No,No,No
Equities,FERRARI NV COM EUR0.01,8140,235561,No,No,No,No
Equities,FEVERTREE DRINKS ORD GBP0.0025,223000,1477375,No,No,No,No
Equities,FIAT CHRYSLER AUTOMOBILES NV,86781,488161,No,No,No,No
Equities,FIDELITY NATL FINL INC NEW FORMERLY FIDELITY COMMON STOCK,181000,4267787,No,No,No,No
Equities,FIDELITY NATL INFORMATION SVCS INC COM STK,118200,5204814,No,No,No,No
Equities,FINANCIAL ENGINES INC COM,26431,577977,No,No,No,No
Equities,FIRST REP BK SAN FRANCISCO CALIF NEW COM,47102,2180921,No,No,No,No
Equities,FORTIS INC COM NPV,203800,4452942,No,No,No,No
Equities,FORTUM OYJ EUR3.40,1084489,11392709,No,No,No,No
Equities,FRESENIUS MEDICAL CARE NPV,86297,5323743,No,No,No,No
Equities,GAMMA COMMUNICATIO ORD GBP0.0025,69000,287903,No,No,No,No
Equities,GEM DIAMONDS ORD USD0.01 (DI),310954,342049,No,No,No,No
Equities,GEMALTO EUR1,51708,2663524,No,No,No,No
Equities,GEN MTRS CO COM,361600,7904733,No,No,No,No
Equities,GENERAL DYNAMICS CORP COM,185222,16929393,No,No,Yes,No
Equities,GENERAL MILLS INC COM,440995,19437164,No,No,No,No
Equities,GENUINE PARTS CO COM,73400,5073093,No,No,No,No
Equities,GEORGE WESTON COM NPV,79900,4986778,No,No,No,No
Equities,GIVAUDAN AG CHF10,4295,5885056,No,No,No,No
Equities,GLAXOSMITHKLINE ORD GBP0.25,2088235,29464996,No,No,No,No
Equities,GOODYEAR TIRE & RUBBER CO COM,180000,4128992,No,No,No,No
Equities,GPE BRUXELLES LAM NPV,68031,3911026,No,No,No,No
Equities,GREAT WEST LIFECO COM NPV,243000,4661123,No,No,No,No
Equities,GRUBHUB INC COM,29224,510551,No,No,No,No
Equities,HANG SENG BANK NPV,368300,4535825,No,No,No,No
Equities,HANKYU HANSHIN HOLDINGS INC NPV,1087000,4831251,No,No,No,No
Equities,HARBOURVEST GLOBAL PRIVATE EQUITY ORD NPV,4571079,41368265,No,No,No,No
Equities,HASBRO INC COM,83800,4668383,No,No,No,No
Equities,HAYS PLC ORD GBP0.01,447847,540999,No,No,No,No
Equities,HCP INC COM REIT,23935,542380,No,No,No,No
Equities,HEINEKEN NV EUR1.60,56089,3540673,No,No,No,No
Equities,HERBALIFE LTD COM STK,15751,674291,No,No,No,No
Equities,HESS CORP COM STK,73800,2702355,No,Yes,No,No
